Label,Text,Option1,Option2,Option3,Option4
biology,What type of organism is commonly used in preparation of foods such as cheese and yogurt?,viruses,protozoa,gymnosperms,mesophilic organisms
biology,What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,tropical effect,muon effect,centrifugal effect,coriolis effect
biology,Changes from a less-ordered state to a more-ordered state (such as a liquid to a solid) are always what?,endothermic,unbalanced,reactive,exothermic
biology,What is the least dangerous radioactive decay?,zeta decay,beta decay,gamma decay,alpha decay
biology,Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?,magma,greenhouse gases,carbon and smog,smoke and ash
biology,"When a meteoroid reaches earth, what is the remaining object called?",orbit,comet,meteor,meteorite
biology,What kind of a reaction occurs when a substance reacts quickly with oxygen?,nitrogen reaction,invention reaction,Fluid Reaction,combustion reaction
biology,"Organisms categorized by what species descriptor demonstrate a version of allopatric speciation and have limited regions of overlap with one another, but where they overlap they interbreed successfully?.",species complex,surface species,fitting species,ring species
biology,Alpha emission is a type of what?,light,radiation,heat,radioactivity
biology,What is the stored food in a seed called?,larval,pollin,membrane,endosperm
biology,"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",usually metal,much metal,Trap metal,active metal
biology,What is controlled by both genes and experiences in a given envionment?,learned behaviors,reflexes,instincts,animal behaviors
biology,What tells you how much of the food you should eat to get the nutrients listed on the label?,longer size,regular size,scoop size,serving size
biology,What is controlled by regulatory proteins that bind to regulatory elements on dna?,substance transcription,amino acids,mRNA,gene transcription
biology,Boron only occurs naturally in compounds with what element?,carbon,helium,nitrogen,oxygen
biology,What organ systems link exchange surfaces with cells throughout the body?,nervous,vascular,pulmonary,circulatory
biology,"Fertilization is the union of a sperm and egg, resulting in the formation of what?",a bacteriophage,a cytoplasm,a nuclei,a zygote
biology,The plants alternation between haploid and diploud generations allow it to do what?,reproduce asexually and biologically,reproduce asexually and simultaneously,reproduce sexually and autonomously,reproduce asexually and sexually
biology,What is the termination of a pregnancy in progress called?,delivery,contraception,miscarriage,abortion
biology,This sharing of electrons produces what is known as a covalent bond. covalent bonds are ~20 to 50 times stronger than what?,gravitational pull,Mendelian systems,Newton's third law,van der waals interactions
biology,Water molecules move about continuously due to what type of energy?,optical,seismic,potential,kinetic
biology,A small scale version of what type of map displays individual rock units?,polar map,seismic map,geographic map,geologic map
biology,What is defined as a change in the inherited traits of organisms over time?,generation,variation,divergence,evolution
biology,"What hormone, which is associated with luteinizing hormone and male sexuality, helps bring about physical changes in puberty?",estrogen,steroids,epinephrine,testosterone
biology,Where do angiosperms produce seeds in flowers?,testes,germs,cones,ovaries
biology,What type of vertebrates are birds?,exothermic,epidermal tetrapod,invertebrates,endothermic tetrapod
biology,"A unique characteristic of mammals is the ability to chew, this happens by the temporalis and the masseter allowing what?",Grinding,Up and down,Bakward and forward,side-to-side movement
biology,Most of the pathogens that cause stis enter the body through mucous membranes of which organs?,stomach,eyes,kidneys,reproductive organs
biology,The activation of what kind of buds induces branching?,arterial buds,lymphatic buds,leafy buds,axillary buds
biology,Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?,sedimentation,infection,vivisection,fertilization
biology,What percentage of men suffer from some form of erectile dysfunction by age 40?,approximately 80 percent,approximately 60 percent,approximately 10 percent,approximately 40 percent
biology,What secures together immovable joints and prevents them from moving?,dense cartilage,light collagen,light cartilage,dense collagen
biology,"The diatoms are unicellular photosynthetic protists that encase themselves in intricately patterned, glassy cell walls composed of silicon dioxide in a matrix of organic particles. these protists are a component of freshwater and these?",source plankton,waste plankton,land plankton,marine plankton
biology,"Millions of years ago, plants used energy from the sun to form what?",greenhouse gases,fossil fuels,evolution,carbon compounds
biology,What is the term for the process in which living things with beneficial traits produce more offspring than others do?,natural variety,natural process,natural survival,natural selection
biology,What protects a developing flower while it is still a bud?,lobes,shell,petals,sepals
biology,"Surface tension of alveolar fluid, which is mostly water, creates an inward pull of the tissue of what organ?",heart,spleen,brain,lung
biology,More than half of all known organisms are what?,spiders,mammals,enzymes,insects
biology,Ringworm and athlete's foot are human diseases caused by what simple organisms?,viruses,bacteria,insects,fungi
biology,Rapidly produced genetic vairants are found in organisms with what type of generation time?,oscillating,long,repeating,short
biology,What is a group of connected cells that have a similar function within an organism called?,colony,organ,nucleus,tissue
biology,What code is the same in all living things and shows that all organisms are related by descent from a common ancestor?,intrinsic,descendant,biochemical,genetic
biology,What is a structure that consists of two or more types of tissues that work together to do the same job?,organism,cell,organ system,organ
biology,What is the process in which organisms reproduce sexually by joining gametes called?,stimulation,propagation,migration,fertilization
biology,Organisms that obtain food from outside themselves (i.e. they don't make their own food) are known as what?,fungi,autotrophs,zygotes,heterotrophs
biology,"In scientific investigations, descriptive statistics are useful for summarizing the characteristics of large what?",tissues,organisms,questions,samples
biology,The four types of light receptors include different types of cones and what else?,joints,quarks,neutrons,rods
biology,What is the name for biochemical compounds that consist of one or more chains of small molecules called amino acids?,hormones,lipids,protons,proteins
biology,Populations of viruses do not grow through cell division because they?,non living,Static,Acidic,are not cells
biology,"Unlike prokaryotic cells, dna and rna synthesis in eukaryotic cells occurs in a separate compartment from synthesis of what?",acids,membrane,phenotype,protein
biology,What combines sets of genes from two different parents leading to genetically diverse offspring?,sexual destruction,subject reproduction,cellular reproduction,sexual reproduction
biology,What property makes bone marrow cells ideal for gene therapy?,Matching,behavior reproduction,irreversible reproduction,lifelong reproduction
biology,Meiosis in the sporophyte produces haploid cells called what?,seeds,fibers,ions,spores
biology,What are the two distinct types of cells found in the animal kingdom?,chromosomes and eukaryotes,DNA and Eukaryotes,bacteria and eukaryotes,prokaryotes and eukaryotes
biology,A lipid is one of a highly diverse group of compounds made up mostly of what?,proteins,nucleic acid,amines,hydrocarbons
biology,What occurs when the immune system attacks a harmless substance that enters the body from the outside?,plague,panic attack,nausea,allergy
biology,Most of the chemical reactions in the body are facilitated by what?,carbohydrates,proteins,vitamins,enzymes
biology,Which muscles allow your fingers to also make precise movements for actions?,fine movement muscles,paired muscles,motoric muscles,intrinsic muscles
biology,"In order to create food, what do photosynthetic protists use?",decayed matter,thermal energy,hydrocarbons,light energy
biology,All living things need air and this to survive?,ecosystem,stimuli,habitat,water
